Time [s],X [g],Y [g],Z [g]
1849.2433375,0.00571236,-0.03081518,1.427189
1849.2445427,0.01246876,-0.03327852,1.43147
1849.245748,0.01032478,-0.03045689,1.435618
1849.2469532,0.008778363,-0.02918031,1.44093
1849.2481585,0.003019929,-0.0269899,1.452678
1849.2493637,0.009170473,-0.02908239,1.466343
1849.250569,0.01509553,-0.01462,1.477082
1849.2517743,0.01959306,-0.01155261,1.484402
1849.2529795,0.02044564,0.005648937,1.495405
1849.2541848,0.0198434,0.009094097,1.505106
1849.25539,0.02637246,0.01704687,1.517892
1849.2565953,0.02888393,0.02285674,1.521559
1849.2578005,0.02317703,0.03112604,1.53069
1849.2590058,0.03172931,0.03142175,1.539542
1849.260211,0.02332431,0.05084338,1.559451
1849.2614163,0.02457818,0.05489102,1.564745
1849.2626215,0.03086954,0.06251255,1.572397
1849.2638268,0.03924891,0.05614559,1.581869
1849.265032,0.04318258,0.06515698,1.588719
1849.2662373,0.04565376,0.06691834,1.602456
1849.2674425,0.04967061,0.08073609,1.62713
1849.2686478,0.05697292,0.08705265,1.644771
1849.2698531,0.06232151,0.1103921,1.660466
1849.2710583,0.07552692,0.1143321,1.678991
1849.2722636,0.0792737,0.1340331,1.700729
1849.2734688,0.07954648,0.1368606,1.734693
1849.2746741,0.0871726,0.1543467,1.756495
1849.2758793,0.09278768,0.1612168,1.773491
1849.2770846,0.08958983,0.1753106,1.792252
1849.2782898,0.09482166,0.1838236,1.819803
1849.2794951,0.09142017,0.2054899,1.843014
1849.2807003,0.09086901,0.2118898,1.855956
1849.2819056,0.080497,0.2315446,1.872179
1849.2831108,0.07522327,0.2344745,1.886582
1849.2843161,0.06951934,0.243444,1.891427
1849.2855214,0.06859228,0.2451193,1.907023
1849.2867266,0.06537169,0.2492882,1.924238
1849.2879319,0.07884207,0.2434226,1.935976
1849.2891371,0.08284956,0.2463579,1.942639
1849.2903424,0.08115605,0.2304864,1.963179
1849.2915476,0.08131656,0.2332146,1.982715
1849.2927529,0.08014271,0.2262655,2.006186
1849.2939581,0.07405147,0.2315003,2.031925
1849.2951634,0.07193309,0.2258747,2.051968
1849.2963686,0.07302633,0.2292543,2.05768
1849.2975739,0.08873436,0.2180243,2.066087
1849.2987791,0.09082109,0.2104328,2.067254
1849.2999844,0.1038113,0.2019517,2.069099
1849.3011897,0.1100327,0.2041877,2.07024
1849.3023949,0.1081563,0.1951551,2.067438
1849.3036002,0.1119208,0.197539,2.058005
1849.3048054,0.114856,0.1979454,2.046582
1849.3060107,0.1118863,0.2022034,2.041585
1849.3072159,0.1194741,0.1889443,2.028944
